0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
NAME,DP03_0001E,DP03_0001PE,DP03_0002E,DP03_0002PE,DP03_0003E,DP03_0003PE,DP03_0004E,DP03_0004PE,DP03_0005E,DP03_0005PE,DP03_0006E,DP03_0006PE,DP03_0007E,DP03_0007PE,DP03_0008E,DP03_0008PE,DP03_0009E,DP03_0009PE,DP03_0010E,DP03_0010PE,DP03_0011E,DP03_0011PE,DP03_0012E,DP03_0012PE,DP03_0013E,DP03_0013PE,DP03_0014E,DP03_0014PE,DP03_0015E,DP03_0015PE,DP03_0016E,DP03_0016PE,DP03_0017E,DP03_0017PE,state,county
"Alameda County, California",1367247,1367247,922490,67.5,921061,67.4,874563,64.0,46498,3.4,1429,0.1,444757,32.5,921061,921061,-888888888,5.0,696583,696583,430835,61.8,430572,61.8,408657,58.7,110548,110548,75501,68.3,219905,219905,154393,70.2,06,001
"Alpine County, California",1084,1084,575,53.0,575,53.0,522,48.2,53,4.9,0,0.0,509,47.0,575,575,-888888888,9.2,497,497,234,47.1,234,47.1,222,44.7,105,105,74,70.5,172,172,102,59.3,06,003
"Amador County, California",34850,34850,16238,46.6,16213,46.5,15114,43.4,1099,3.2,25,0.1,18612,53.4,16213,16213,-888888888,6.8,15569,15569,7361,47.3,7336,47.1,6677,42.9,1850,1850,1307,70.6,3704,3704,2634,71.1,06,005
"Butte County, California",178693,178693,103769,58.1,103649,58.0,96203,53.8,7446,4.2,120,0.1,74924,41.9,103649,103649,-888888888,7.2,90536,90536,49715,54.9,49679,54.9,46479,51.3,13339,13339,9301,69.7,28807,28807,20399,70.8,06,007
"Calaveras County, California",38768,38768,17893,46.2,17846,46.0,16631,42.9,1215,3.1,47,0.1,20875,53.8,17846,17846,-888888888,6.8,19373,19373,8491,43.8,8491,43.8,7964,41.1,2199,2199,1308,59.5,4947,4947,3547,71.7,06,009
"Colusa County, California",16512,16512,10097,61.1,10097,61.1,9538,57.8,559,3.4,0,0.0,6415,38.9,10097,10097,-888888888,5.5,8092,8092,4451,55.0,4451,55.0,4136,51.1,1757,1757,1120,63.7,4028,4028,2521,62.6,06,011
"Contra Costa County, California",930333,930333,606479,65.2,605752,65.1,570386,61.3,35366,3.8,727,0.1,323854,34.8,605752,605752,-888888888,5.8,477003,477003,285232,59.8,285132,59.8,268105,56.2,76401,76401,50555,66.2,177250,177250,121480,68.5,06,013
"Del Norte County, California",22215,22215,9995,45.0,9995,45.0,9245,41.6,750,3.4,0,0.0,12220,55.0,9995,9995,-888888888,7.5,10125,10125,4803,47.4,4803,47.4,4542,44.9,1684,1684,867,51.5,3675,3675,2157,58.7,06,015
"El Dorado County, California",157585,157585,91863,58.3,91620,58.1,87325,55.4,4295,2.7,243,0.2,65722,41.7,91620,91620,-888888888,4.7,79032,79032,42106,53.3,42076,53.2,40427,51.2,10426,10426,6374,61.1,26049,26049,17246,66.2,06,017
"Fresno County, California",748482,748482,456835,61.0,455708,60.9,415669,55.5,40039,5.3,1127,0.2,291647,39.0,455708,455708,-888888888,8.8,375785,375785,208676,55.5,208435,55.5,189219,50.4,87390,87390,53715,61.5,185433,185433,125876,67.9,06,019
"Glenn County, California",21939,21939,13116,59.8,13096,59.7,12172,55.5,924,4.2,20,0.1,8823,40.2,13096,13096,-888888888,7.1,11080,11080,5740,51.8,5740,51.8,5280,47.7,2126,2126,1098,51.6,5113,5113,3377,66.0,06,021
"Humboldt County, California",113597,113597,66508,58.5,66418,58.5,60195,53.0,6223,5.5,90,0.1,47089,41.5,66418,66418,-888888888,9.4,57214,57214,31904,55.8,31904,55.8,29108,50.9,8448,8448,5724,67.8,16374,16374,11330,69.2,06,023
"Imperial County, California",133547,133547,68297,51.1,67865,50.8,58404,43.7,9461,7.1,432,0.3,65250,48.9,67865,67865,-888888888,13.9,64416,64416,31405,48.8,31351,48.7,27291,42.4,15640,15640,9919,63.4,32693,32693,21959,67.2,06,025
"Inyo County, California",15078,15078,8733,57.9,8733,57.9,8356,55.4,377,2.5,0,0.0,6345,42.1,8733,8733,-888888888,4.3,7448,7448,4347,58.4,4347,58.4,4246,57.0,1068,1068,619,58.0,2718,2718,2058,75.7,06,027
"Kern County, California",671496,671496,390258,58.1,388041,57.8,353637,52.7,34404,5.1,2217,0.3,281238,41.9,388041,388041,-888888888,8.9,325367,325367,171652,52.8,171414,52.7,156231,48.0,77457,77457,46836,60.5,170065,170065,105315,61.9,06,029
"Kings County, California",114872,114872,62697,54.6,57736,50.3,52477,45.7,5259,4.6,4961,4.3,52175,45.4,57736,57736,-888888888,9.1,49790,49790,25737,51.7,25148,50.5,22544,45.3,13283,13283,8039,60.5,26675,26675,15833,59.4,06,031
"Lake County, California",54806,54806,28419,51.9,28369,51.8,25509,46.5,2860,5.2,50,0.1,26387,48.1,28369,28369,-888888888,10.1,27349,27349,13138,48.0,13138,48.0,12019,43.9,4243,4243,2354,55.5,8655,8655,5896,68.1,06,033
"Lassen County, California",28019,28019,9323,33.3,9279,33.1,8639,30.8,640,2.3,44,0.2,18696,66.7,9279,9279,-888888888,6.9,9273,9273,4380,47.2,4373,47.2,4114,44.4,1789,1789,934,52.2,3271,3271,2130,65.1,06,035
"Los Angeles County, California",8101041,8101041,5258337,64.9,5252747,64.8,4885032,60.3,367715,4.5,5590,0.1,2842704,35.1,5252747,5252747,-888888888,7.0,4120271,4120271,2427574,58.9,2426423,58.9,2253625,54.7,653138,653138,425852,65.2,1409483,1409483,949964,67.4,06,037
"Madera County, California",118139,118139,65719,55.6,65603,55.5,58744,49.7,6859,5.8,116,0.1,52420,44.4,65603,65603,-888888888,10.5,61709,61709,30785,49.9,30785,49.9,27394,44.4,13109,13109,7943,60.6,28345,28345,18483,65.2,06,039
"Marin County, California",216621,216621,137853,63.6,137710,63.6,130613,60.3,7097,3.3,143,0.1,78768,36.4,137710,137710,-888888888,5.2,110731,110731,65075,58.8,65053,58.7,62056,56.0,13930,13930,9361,67.2,36538,36538,26555,72.7,06,041
"Mariposa County, California",14652,14652,7796,53.2,7796,53.2,7040,48.0,756,5.2,0,0.0,6856,46.8,7796,7796,-888888888,9.7,7216,7216,3681,51.0,3681,51.0,3299,45.7,815,815,655,80.4,1854,1854,1599,86.2,06,043
"Mendocino County, California",74342,74342,42629,57.3,42578,57.3,38972,52.4,3606,4.9,51,0.1,31713,42.7,42578,42578,-888888888,8.5,37539,37539,19919,53.1,19919,53.1,18451,49.2,5913,5913,3757,63.5,12485,12485,8660,69.4,06,045
"Merced County, California",206258,206258,121901,59.1,121686,59.0,108194,52.5,13492,6.5,215,0.1,84357,40.9,121686,121686,-888888888,11.1,102286,102286,51873,50.7,51814,50.7,44934,43.9,24307,24307,12858,52.9,54168,54168,34140,63.0,06,047
"Modoc County, California",7216,7216,3340,46.3,3321,46.0,2993,41.5,328,4.5,19,0.3,3876,53.7,3321,3321,-888888888,9.9,3562,3562,1596,44.8,1596,44.8,1505,42.3,552,552,299,54.2,1071,1071,636,59.4,06,049
"Mono County, California",10822,10822,7436,68.7,7275,67.2,7097,65.6,178,1.6,161,1.5,3386,31.3,7275,7275,-888888888,2.4,5009,5009,3236,64.6,3236,64.6,3209,64.1,1105,1105,642,58.1,1514,1514,931,61.5,06,051
"Monterey County, California",336262,336262,205939,61.2,200826,59.7,189807,56.4,11019,3.3,5113,1.5,130323,38.8,200826,200826,-888888888,5.5,164192,164192,91328,55.6,90036,54.8,84806,51.7,35161,35161,20568,58.5,74376,74376,47226,63.5,06,053
"Napa County, California",114351,114351,73823,64.6,73750,64.5,70147,61.3,3603,3.2,73,0.1,40528,35.4,73750,73750,-888888888,4.9,57318,57318,34441,60.1,34430,60.1,32609,56.9,7855,7855,6102,77.7,19508,19508,15077,77.3,06,055
"Nevada County, California",86758,86758,48924,56.4,48786,56.2,46744,53.9,2042,2.4,138,0.2,37834,43.6,48786,48786,-888888888,4.2,44118,44118,23254,52.7,23240,52.7,22433,50.8,4841,4841,3357,69.3,11939,11939,9277,77.7,06,057
"Orange County, California",2567770,2567770,1690622,65.8,1688370,65.8,1596831,62.2,91539,3.6,2252,0.1,877148,34.2,1688370,1688370,-888888888,5.4,1304615,1304615,772105,59.2,771865,59.2,728363,55.8,209239,209239,135316,64.7,462379,462379,313138,67.7,06,059
"Placer County, California",321845,321845,195115,60.6,194122,60.3,185819,57.7,8303,2.6,993,0.3,126730,39.4,194122,194122,-888888888,4.3,165129,165129,90489,54.8,90330,54.7,86655,52.5,24731,24731,15410,62.3,62071,62071,43229,69.6,06,061
"Plumas County, California",16671,16671,8457,50.7,8457,50.7,7760,46.5,697,4.2,0,0.0,8214,49.3,8457,8457,-888888888,8.2,8263,8263,4188,50.7,4188,50.7,3828,46.3,893,893,618,69.2,2071,2071,1697,81.9,06,063
"Riverside County, California",1876133,1876133,1131857,60.3,1126392,60.0,1045030,55.7,81362,4.3,5465,0.3,744276,39.7,1126392,1126392,-888888888,7.2,941848,941848,505793,53.7,505153,53.6,466383,49.5,173337,173337,104230,60.1,403456,403456,260482,64.6,06,065
"Sacramento County, California",1240835,1240835,785908,63.3,784236,63.2,732788,59.1,51448,4.1,1672,0.1,454927,36.7,784236,784236,-888888888,6.6,637284,637284,374466,58.8,374125,58.7,350735,55.0,114250,114250,73562,64.4,240361,240361,166128,69.1,06,067
"San Benito County, California",48837,48837,33343,68.3,33330,68.2,30951,63.4,2379,4.9,13,0.0,15494,31.7,33330,33330,-888888888,7.1,24213,24213,14866,61.4,14866,61.4,13798,57.0,4650,4650,3103,66.7,11126,11126,8416,75.6,06,069
"San Bernardino County, California",1663126,1663126,1023168,61.5,1010279,60.7,934832,56.2,75447,4.5,12889,0.8,639958,38.5,1010279,1010279,-888888888,7.5,836948,836948,461328,55.1,460208,55.0,424582,50.7,170256,170256,100481,59.0,371558,371558,237357,63.9,06,071
"San Diego County, California",2660938,2660938,1766356,66.4,1683318,63.3,1572927,59.1,110391,4.1,83038,3.1,894582,33.6,1683318,1683318,-888888888,6.6,1317995,1317995,791938,60.1,780962,59.3,727305,55.2,230418,230418,152224,66.1,453814,453814,313730,69.1,06,073
"San Francisco County, California",759882,759882,540761,71.2,540475,71.1,511902,67.4,28573,3.8,286,0.0,219121,28.8,540475,540475,-888888888,5.3,370245,370245,248357,67.1,248307,67.1,236497,63.9,42417,42417,30478,71.9,68842,68842,51695,75.1,06,075
"San Joaquin County, California",585568,585568,353544,60.4,353205,60.3,327491,55.9,25714,4.4,339,0.1,232024,39.6,353205,353205,-888888888,7.3,294350,294350,158471,53.8,158396,53.8,145460,49.4,60805,60805,35138,57.8,137912,137912,91175,66.1,06,077
"San Luis Obispo County, California",238701,238701,138960,58.2,137198,57.5,130139,54.5,7059,3.0,1762,0.7,99741,41.8,137198,137198,-888888888,5.1,117389,117389,63501,54.1,63400,54.0,59792,50.9,15037,15037,10386,69.1,32995,32995,23038,69.8,06,079
"San Mateo County, California",625530,625530,429564,68.7,429101,68.6,409344,65.4,19757,3.2,463,0.1,195966,31.3,429101,429101,-888888888,4.6,316055,316055,200291,63.4,200131,63.3,190338,60.2,49343,49343,35326,71.6,100864,100864,76232,75.6,06,081
"Santa Barbara County, California",358507,358507,227061,63.3,224912,62.7,211109,58.9,13803,3.9,2149,0.6,131446,36.7,224912,224912,-888888888,6.1,178937,178937,104228,58.2,103863,58.0,96703,54.0,31481,31481,22320,70.9,63290,63290,45377,71.7,06,083
"Santa Clara County, California",1558810,1558810,1055954,67.7,1054725,67.7,1007768,64.6,46957,3.0,1229,0.1,502856,32.3,1054725,1054725,-888888888,4.5,766942,766942,463797,60.5,463442,60.4,440796,57.5,129699,129699,85201,65.7,277744,277744,192875,69.4,06,085
"Santa Cruz County, California",226386,226386,145889,64.4,145818,64.4,136507,60.3,9311,4.1,71,0.0,80497,35.6,145818,145818,-888888888,6.4,114395,114395,68950,60.3,68950,60.3,64107,56.0,14278,14278,9773,68.4,34281,34281,24171,70.5,06,087
"Shasta County, California",146583,146583,80885,55.2,80819,55.1,75545,51.5,5274,3.6,66,0.0,65698,44.8,80819,80819,-888888888,6.5,74759,74759,38457,51.4,38412,51.4,36410,48.7,11648,11648,7353,63.1,24920,24920,17094,68.6,06,089
"Sierra County, California",2639,2639,1524,57.7,1524,57.7,1387,52.6,137,5.2,0,0.0,1115,42.3,1524,1524,-888888888,9.0,1415,1415,839,59.3,839,59.3,791,55.9,103,103,103,100.0,372,372,340,91.4,06,091
"Siskiyou County, California",36179,36179,17991,49.7,17968,49.7,16554,45.8,1414,3.9,23,0.1,18188,50.3,17968,17968,-888888888,7.9,18098,18098,8657,47.8,8653,47.8,7926,43.8,2664,2664,1698,63.7,5715,5715,4066,71.1,06,093
"Solano County, California",362423,362423,229735,63.4,225581,62.2,212151,58.5,13430,3.7,4154,1.1,132688,36.6,225581,225581,-888888888,6.0,182023,182023,107745,59.2,106991,58.8,100633,55.3,31386,31386,20004,63.7,63224,63224,45494,72.0,06,095
"Sonoma County, California",407504,407504,265533,65.2,264810,65.0,251382,61.7,13428,3.3,723,0.2,141971,34.8,264810,264810,-888888888,5.1,208970,208970,125726,60.2,125584,60.1,119680,57.3,27846,27846,18350,65.9,63825,63825,47944,75.1,06,097
"Stanislaus County, California",417386,417386,256156,61.4,255842,61.3,234325,56.1,21517,5.2,314,0.1,161230,38.6,255842,255842,-888888888,8.4,211317,211317,113464,53.7,113464,53.7,103199,48.8,44432,44432,26191,58.9,98874,98874,62890,63.6,06,099
"Sutter County, California",76159,76159,45850,60.2,45099,59.2,41668,54.7,3431,4.5,751,1.0,30309,39.8,45099,45099,-888888888,7.6,38432,38432,20420,53.1,20270,52.7,18587,48.4,7799,7799,4597,58.9,16662,16662,10721,64.3,06,101
"Tehama County, California",51437,51437,28362,55.1,28316,55.0,26019,50.6,2297,4.5,46,0.1,23075,44.9,28316,28316,-888888888,8.1,26042,26042,12977,49.8,12977,49.8,12041,46.2,4427,4427,3016,68.1,9803,9803,6376,65.0,06,103
"Trinity County, California",13590,13590,5768,42.4,5745,42.3,5413,39.8,332,2.4,23,0.2,7822,57.6,5745,5745,-888888888,5.8,6644,6644,2872,43.2,2872,43.2,2673,40.2,726,726,553,76.2,1808,1808,1384,76.5,06,105
"Tulare County, California",342199,342199,209013,61.1,208562,60.9,187269,54.7,21293,6.2,451,0.1,133186,38.9,208562,208562,-888888888,10.2,171670,171670,92024,53.6,91916,53.5,81993,47.8,43071,43071,26555,61.7,95508,95508,65080,68.1,06,107
"Tuolumne County, California",46827,46827,23439,50.1,23437,50.1,21541,46.0,1896,4.0,2,0.0,23388,49.9,23437,23437,-888888888,8.1,22500,22500,11499,51.1,11499,51.1,10550,46.9,3247,3247,2007,61.8,5646,5646,4107,72.7,06,109
"Ventura County, California",674985,674985,438224,64.9,434377,64.4,410141,60.8,24236,3.6,3847,0.6,236761,35.1,434377,434377,-888888888,5.6,341117,341117,198910,58.3,198223,58.1,187439,54.9,55719,55719,38401,68.9,127979,127979,89154,69.7,06,111
"Yolo County, California",176406,176406,107978,61.2,107620,61.0,101603,57.6,6017,3.4,358,0.2,68428,38.8,107620,107620,-888888888,5.6,91430,91430,52231,57.1,52065,56.9,49259,53.9,13258,13258,9190,69.3,30144,30144,21527,71.4,06,113
"Yuba County, California",60263,60263,34863,57.9,32693,54.3,30557,50.7,2136,3.5,2170,3.6,25400,42.1,32693,32693,-888888888,6.5,29786,29786,15585,52.3,15209,51.1,14371,48.2,7423,7423,4123,55.5,13662,13662,8239,60.3,06,115
