0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
NAME,DP03_0026E,DP03_0026PE,DP03_0027E,DP03_0027PE,DP03_0028E,DP03_0028PE,DP03_0029E,DP03_0029PE,DP03_0030E,DP03_0030PE,DP03_0031E,DP03_0031PE,state,county
"Alameda County, California",874563,874563,459806,52.6,127138,14.5,150942,17.3,51054,5.8,85623,9.8,06,001
"Alpine County, California",522,522,258,49.4,58,11.1,92,17.6,64,12.3,50,9.6,06,003
"Amador County, California",15114,15114,5032,33.3,3780,25.0,3117,20.6,1663,11.0,1522,10.1,06,005
"Butte County, California",96203,96203,36698,38.1,20026,20.8,20727,21.5,8424,8.8,10328,10.7,06,007
"Calaveras County, California",16631,16631,5110,30.7,4052,24.4,3748,22.5,2089,12.6,1632,9.8,06,009
"Colusa County, California",9538,9538,2248,23.6,1627,17.1,1454,15.2,2194,23.0,2015,21.1,06,011
"Contra Costa County, California",570386,570386,264121,46.3,97005,17.0,114717,20.1,42957,7.5,51586,9.0,06,013
"Del Norte County, California",9245,9245,3155,34.1,2637,28.5,1610,17.4,1049,11.3,794,8.6,06,015
"El Dorado County, California",87325,87325,38065,43.6,16655,19.1,17999,20.6,7734,8.9,6872,7.9,06,017
"Fresno County, California",415669,415669,133345,32.1,79354,19.1,86847,20.9,60155,14.5,55968,13.5,06,019
"Glenn County, California",12172,12172,2959,24.3,1993,16.4,2427,19.9,2581,21.2,2212,18.2,06,021
"Humboldt County, California",60195,60195,21578,35.8,13416,22.3,12056,20.0,6512,10.8,6633,11.0,06,023
"Imperial County, California",58404,58404,14849,25.4,15667,26.8,12106,20.7,8460,14.5,7322,12.5,06,025
"Inyo County, California",8356,8356,3102,37.1,1662,19.9,2003,24.0,1116,13.4,473,5.7,06,027
"Kern County, California",353637,353637,100344,28.4,66701,18.9,67132,19.0,67908,19.2,51552,14.6,06,029
"Kings County, California",52477,52477,13238,25.2,10877,20.7,9229,17.6,11126,21.2,8007,15.3,06,031
"Lake County, California",25509,25509,7298,28.6,6681,26.2,5018,19.7,3580,14.0,2932,11.5,06,033
"Lassen County, California",8639,8639,2711,31.4,2140,24.8,1671,19.3,910,10.5,1207,14.0,06,035
"Los Angeles County, California",4885032,4885032,1929372,39.5,896616,18.4,1041922,21.3,373136,7.6,643986,13.2,06,037
"Madera County, California",58744,58744,15787,26.9,10718,18.2,10927,18.6,13179,22.4,8133,13.8,06,039
"Marin County, California",130613,130613,73737,56.5,17567,13.4,25872,19.8,6940,5.3,6497,5.0,06,041
"Mariposa County, California",7040,7040,2208,31.4,2199,31.2,1333,18.9,672,9.5,628,8.9,06,043
"Mendocino County, California",38972,38972,12566,32.2,8479,21.8,8885,22.8,5133,13.2,3909,10.0,06,045
"Merced County, California",108194,108194,26657,24.6,19811,18.3,19019,17.6,21435,19.8,21272,19.7,06,047
"Modoc County, California",2993,2993,1100,36.8,696,23.3,575,19.2,449,15.0,173,5.8,06,049
"Mono County, California",7097,7097,2780,39.2,1610,22.7,1215,17.1,930,13.1,562,7.9,06,051
"Monterey County, California",189807,189807,58136,30.6,37703,19.9,35205,18.5,36338,19.1,22425,11.8,06,053
"Napa County, California",70147,70147,26986,38.5,14065,20.1,14171,20.2,7011,10.0,7914,11.3,06,055
"Nevada County, California",46744,46744,19845,42.5,9138,19.5,9808,21.0,4529,9.7,3424,7.3,06,057
"Orange County, California",1596831,1596831,717930,45.0,260305,16.3,354473,22.2,100037,6.3,164086,10.3,06,059
"Placer County, California",185819,185819,90928,48.9,29431,15.8,40385,21.7,11911,6.4,13164,7.1,06,061
"Plumas County, California",7760,7760,2567,33.1,1805,23.3,1492,19.2,945,12.2,951,12.3,06,063
"Riverside County, California",1045030,1045030,330873,31.7,210458,20.1,232831,22.3,116140,11.1,154728,14.8,06,065
"Sacramento County, California",732788,732788,297037,40.5,133809,18.3,162617,22.2,57668,7.9,81657,11.1,06,067
"San Benito County, California",30951,30951,9466,30.6,5515,17.8,6342,20.5,4983,16.1,4645,15.0,06,069
"San Bernardino County, California",934832,934832,287298,30.7,168632,18.0,203980,21.8,95147,10.2,179775,19.2,06,071
"San Diego County, California",1572927,1572927,697089,44.3,286981,18.2,318558,20.3,116158,7.4,154141,9.8,06,073
"San Francisco County, California",511902,511902,308976,60.4,72710,14.2,86480,16.9,14653,2.9,29083,5.7,06,075
"San Joaquin County, California",327491,327491,98207,30.0,58472,17.9,64975,19.8,46261,14.1,59576,18.2,06,077
"San Luis Obispo County, California",130139,130139,52063,40.0,25223,19.4,27819,21.4,12866,9.9,12168,9.4,06,079
"San Mateo County, California",409344,409344,216275,52.8,62732,15.3,74473,18.2,23464,5.7,32400,7.9,06,081
"Santa Barbara County, California",211109,211109,80757,38.3,43154,20.4,39562,18.7,28050,13.3,19586,9.3,06,083
"Santa Clara County, California",1007768,1007768,570473,56.6,140393,13.9,160204,15.9,58121,5.8,78577,7.8,06,085
"Santa Cruz County, California",136507,136507,62316,45.7,21953,16.1,26046,19.1,13979,10.2,12213,8.9,06,087
"Shasta County, California",75545,75545,27151,35.9,15904,21.1,16581,21.9,7881,10.4,8028,10.6,06,089
"Sierra County, California",1387,1387,555,40.0,255,18.4,266,19.2,242,17.4,69,5.0,06,091
"Siskiyou County, California",16554,16554,5453,32.9,3837,23.2,3164,19.1,2263,13.7,1837,11.1,06,093
"Solano County, California",212151,212151,72678,34.3,41029,19.3,46640,22.0,23327,11.0,28477,13.4,06,095
"Sonoma County, California",251382,251382,101405,40.3,47085,18.7,51238,20.4,25572,10.2,26082,10.4,06,097
"Stanislaus County, California",234325,234325,68251,29.1,41985,17.9,46803,20.0,33374,14.2,43912,18.7,06,099
"Sutter County, California",41668,41668,12804,30.7,8076,19.4,8346,20.0,6235,15.0,6207,14.9,06,101
"Tehama County, California",26019,26019,6626,25.5,5074,19.5,5931,22.8,3753,14.4,4635,17.8,06,103
"Trinity County, California",5413,5413,1940,35.8,1407,26.0,686,12.7,888,16.4,492,9.1,06,105
"Tulare County, California",187269,187269,50028,26.7,33911,18.1,36914,19.7,36634,19.6,29782,15.9,06,107
"Tuolumne County, California",21541,21541,7866,36.5,5614,26.1,3908,18.1,1791,8.3,2362,11.0,06,109
"Ventura County, California",410141,410141,159212,38.8,71850,17.5,86527,21.1,48914,11.9,43638,10.6,06,111
"Yolo County, California",101603,101603,46804,46.1,17327,17.1,17009,16.7,9326,9.2,11137,11.0,06,113
"Yuba County, California",30557,30557,9443,30.9,6186,20.2,6035,19.7,4621,15.1,4272,14.0,06,115
