0,1,2,3
NAME,B05010_001E,state,county
"Kings County, California",40143,06,031
"Los Angeles County, California",1955338,06,037
"Napa County, California",25832,06,055
"Orange County, California",648717,06,059
"Riverside County, California",574802,06,065
"San Bernardino County, California",538243,06,071
"San Joaquin County, California",199299,06,077
"Santa Barbara County, California",94438,06,083
"Shasta County, California",36814,06,089
"Solano County, California",93284,06,095
"Stanislaus County, California",142260,06,099
"Ventura County, California",174420,06,111
"Madera County, California",42144,06,039
"Marin County, California",47336,06,041
"Mendocino County, California",,06,045
"Merced County, California",77843,06,047
"Monterey County, California",108191,06,053
"Nevada County, California",,06,057
"Placer County, California",88831,06,061
"Sacramento County, California",353736,06,067
"San Benito County, California",,06,069
"San Diego County, California",670674,06,073
"San Francisco County, California",105100,06,075
"San Luis Obispo County, California",47329,06,079
"San Mateo County, California",141528,06,081
"Santa Clara County, California",384646,06,085
"Santa Cruz County, California",46118,06,087
"Sonoma County, California",88031,06,097
"Sutter County, California",23286,06,101
"Tehama County, California",14988,06,103
"Tulare County, California",140561,06,107
"Yolo County, California",42163,06,113
"Yuba County, California",21663,06,115
"Lake County, California",,06,033
"Alameda County, California",319442,06,001
"Butte County, California",41146,06,007
"Contra Costa County, California",248379,06,013
"El Dorado County, California",36523,06,017
"Fresno County, California",272054,06,019
"Humboldt County, California",24079,06,023
"Imperial County, California",48766,06,025
"Kern County, California",250935,06,029
